id,kind,category_ja,model,source_lemma,lemma,description_ja,final_status,passed,raw_verdict,verification_method,processing_time_seconds,evidence_model_path,evidence_model_sha256,evidence_log_path,evidence_log_sha256,notes
A11,attack,Replay・単回性・stale・rollback,oclm_phase1c4a_verifier_state_monotonicity_core.spthy,rollback_attempt_cannot_lower_state_without_later_compromise,audit_a11_rollback_attempt_cannot_lower_state_without_later_compromise,後続侵害なしでrollback attemptが検証状態を低下させられるか,SURVIVES,True,falsified,original clean run,0.18,models/generated_theories/A11_oclm_phase1c4a_verifier_state_monotonicity_core.spthy,b2863283a767c3128c3114959006530488f413dbb38dd7caf7d1f3ad510b28ce,logs/original/A11_audit_a11_rollback_attempt_cannot_lower_state_without_later_compromise.txt,a2e43f5c1e5f0b5667d3435ce09e797eb1d1736c4739905f55657345b089ffc8,
A12,attack,Replay・単回性・stale・rollback,oclm_phase1c4b_rollback_resistant_composition_contract.spthy,stale_composed_acceptance_requires_prior_verifier_compromise,audit_a12_stale_composed_acceptance_requires_prior_verifier_compromise,事前Verifier侵害なしでstale状態の構成Childを受理できるか,SURVIVES,True,falsified,original clean run,1.55,models/generated_theories/A12_oclm_phase1c4b_rollback_resistant_composition_contract.spthy,0ab960a01031957711554b83ac25d7f6778b48d84d2efbf828c9e97213bebd74,logs/original/A12_audit_a12_stale_composed_acceptance_requires_prior_verifier_compromise.txt,97c7c196f8cc4dcbf4cb7ca36540a1535221ba3980a3d7f54a17491e879dc3a6,
A13,attack,鍵侵害の時間境界,oclm_phase1c3_forward_secure_epochs.spthy,erased_epoch_key_cannot_be_compromised_later,audit_a13_erased_epoch_key_cannot_be_compromised_later,消去済みepoch鍵を後から侵害できるtraceが存在するか,SURVIVES,True,falsified,clean direct rerun,290.39,models/generated_theories/A13_oclm_phase1c3_forward_secure_epochs.spthy,a7ad6800e99dc14ff5eb9a5ccb91f9d38b084bbaa03707ffa5293661b14cc1f7,logs/clean/A13.txt,5df0563b172067056953599383a4eabb69472ff7b836c9721a74542724b34182,Original result replaced by a warning-free clean rerun.
A14,attack,鍵侵害の時間境界,oclm_phase1c3_forward_secure_epochs.spthy,accepted_epoch_credential_requires_issuance_or_root_compromise,audit_a14_accepted_epoch_credential_requires_issuance_or_root_compromise,発行もroot侵害もなくepoch credentialを受理できるか,SURVIVES,True,falsified,clean direct rerun,301.59,models/generated_theories/A14_oclm_phase1c3_forward_secure_epochs.spthy,88b84528e62c4abf680fdae4d54c590b3fa470631934d110cee06211104f07d1,logs/clean/A14.txt,76d4c7b78817b071c848419965e20b1f2dfe207172ba3dc076c2dc6072626b92,Original result replaced by a warning-free clean rerun.
A15,attack,鍵侵害の時間境界,oclm_phase1c3a_forward_secure_epoch_core.spthy,accepted_old_certificate_requires_issuance_or_target_compromise,audit_a15_accepted_old_certificate_requires_issuance_or_target_compromise,発行・対象旧鍵侵害・root侵害なしで旧証明書を受理できるか,SURVIVES,True,falsified,original clean run,1.81,models/generated_theories/A15_oclm_phase1c3a_forward_secure_epoch_core.spthy,3cb6fdd67daaf11e9aaade7ef8a878d276ea69a877563b7906d29f1229bf4a46,logs/original/A15_audit_a15_accepted_old_certificate_requires_issuance_or_target_compromise.txt,e8be478674ea531b007e90741d811d5a9601c77c64c73b584b80c9ddb3ba5399,
A16,attack,鍵侵害の時間境界,oclm_phase1c3b_c2_c3_composition_contract.spthy,composed_acceptance_requires_contract_or_target_compromise,audit_a16_composed_acceptance_requires_contract_or_target_compromise,正規contractも対象旧鍵/root侵害もなく合成証明を受理できるか,SURVIVES,True,falsified,clean direct rerun,33.58,models/generated_theories/A16_oclm_phase1c3b_c2_c3_composition_contract.spthy,9b8bc151112ba6925c973a7cac9274a099c3ef63829960c95391e187ca31ea99,logs/clean/A16.txt,c26a19beee5563cf904832a6625cf6dcc781777afed5991e4b5154321fcf4a7e,Original result replaced by a warning-free clean rerun.
A17,attack,失効・再有効化,oclm_phase1c5a_revocation_state_core.spthy,certificate_reactivation_requires_prior_authority_compromise,audit_a17_certificate_reactivation_requires_prior_authority_compromise,失効Authority侵害なしで証明書を再有効化できるか,SURVIVES,True,falsified,original clean run,0.79,models/generated_theories/A17_oclm_phase1c5a_revocation_state_core.spthy,37925cc8b20614427cc16c436db44f76e2331704f706e71c0abffbeaa7be23f2,logs/original/A17_audit_a17_certificate_reactivation_requires_prior_authority_compromise.txt,906f49876585dc3f9aee9e8d17d5c4f2d7fe1b3da93860cd34929bfcbe8d239b,
A18,attack,失効・再有効化,oclm_phase1c5a_revocation_state_core.spthy,current_verifier_state_never_accepts_revoked_certificate,audit_a18_current_verifier_state_never_accepts_revoked_certificate,current revocation stateで失効証明書を受理できるか,SURVIVES,True,falsified,original clean run,0.53,models/generated_theories/A18_oclm_phase1c5a_revocation_state_core.spthy,f8f5a22bfb887dc8736c0f2a5396f32e336b2fdbb6635fd7f0e9fe6da97a3d36,logs/original/A18_audit_a18_current_verifier_state_never_accepts_revoked_certificate.txt,cdda180e3f4c1596b8f2dd18f886740d18847b05846cae705b94e152e4ddb17f,
A19,attack,失効・再有効化,oclm_phase1c5a_revocation_state_core.spthy,revoked_acceptance_requires_missing_update_or_verifier_compromise,audit_a19_revoked_acceptance_requires_missing_update_or_verifier_compromise,update欠落もVerifier侵害もなく失効証明書を受理できるか,SURVIVES,True,falsified,original clean run,0.84,models/generated_theories/A19_oclm_phase1c5a_revocation_state_core.spthy,b172c1f790ebea85668d71a1579f501a2ddf10854dc0ae59b8d1692d01770cf9,logs/original/A19_audit_a19_revoked_acceptance_requires_missing_update_or_verifier_compromise.txt,0c1da33f4a70b83362b41a18b2b10f257e9b90bda480e38aafbe173619547ba0,
A20,attack,失効・再有効化,oclm_phase1c5c_revocation_transparency_lineage_composition_contract.spthy,revoked_composed_acceptance_requires_explicit_exception,audit_a20_revoked_composed_acceptance_requires_explicit_exception,明示的例外なしで失効済み最終構成を受理できるか,SURVIVES,True,falsified,original clean run,3.19,models/generated_theories/A20_oclm_phase1c5c_revocation_transparency_lineage_composition_contract.spthy,0001d78e3ae2a1344ad088745f4c4d060409e514b24abc10030f4e855f8d3244,logs/original/A20_audit_a20_revoked_composed_acceptance_requires_explicit_exception.txt,15c6147465c70158bbb7d8dbb5526248fad05fc2a7d18a6bc654dd83446d2450,
A21,attack,Transparency・split-view,oclm_phase1c5b_transparency_split_view_core.spthy,accepted_checkpoint_requires_matching_issuance,audit_a21_accepted_checkpoint_requires_matching_issuance,対応する発行なしでTransparency checkpointを受理できるか,SURVIVES,True,falsified,original clean run,1.20,models/generated_theories/A21_oclm_phase1c5b_transparency_split_view_core.spthy,69ef6760ebb306c16ba77f99ef071db66c09c0fb6d709053600745392baeedfe,logs/original/A21_audit_a21_accepted_checkpoint_requires_matching_issuance.txt,bad5e92bdd5e0d47177f7c375959afdb744e2ccbc00076b9db8a8bb1914a2885,
A22,attack,Transparency・split-view,oclm_phase1c5b_transparency_split_view_core.spthy,conflicting_checkpoint_roots_require_prior_log_compromise,audit_a22_conflicting_checkpoint_roots_require_prior_log_compromise,Log侵害なしで同一checkpointへ異なるrootを発行できるか,SURVIVES,True,falsified,original clean run,0.92,models/generated_theories/A22_oclm_phase1c5b_transparency_split_view_core.spthy,df64ad91981065fbb15ce82055029f14a0ce0fe1ea8ca0f85c19a6663a5b2128,logs/original/A22_audit_a22_conflicting_checkpoint_roots_require_prior_log_compromise.txt,bc91c35dedccaae13a158e4072e97aa3cdcf952e527da7c6830b9df36564f602,
A23,attack,Transparency・split-view,oclm_phase1c5b_transparency_split_view_core.spthy,same_certificate_conflicting_transparency_histories_require_compromise,audit_a23_same_certificate_conflicting_transparency_histories_require_compromise,Log侵害なしで同一certificateを異なるroot履歴の下に受理できるか,SURVIVES,True,falsified,original clean run,1.04,models/generated_theories/A23_oclm_phase1c5b_transparency_split_view_core.spthy,3deb53421c1afa9b55a28605a54bfffddfcb80885aa8c1744c49ef658ab71996,logs/original/A23_audit_a23_same_certificate_conflicting_transparency_histories_require_compromise.txt,6618046067940dfec470256251d38fefe897d290936039e514dfd8eaaa41213d,
A24,attack,Transparency・split-view,oclm_phase1c5c_revocation_transparency_lineage_composition_contract.spthy,conflicting_composed_roots_require_prior_log_compromise,audit_a24_conflicting_composed_roots_require_prior_log_compromise,Log侵害なしで同一最終構成を競合rootの下に受理できるか,SURVIVES,True,falsified,original clean run,4.72,models/generated_theories/A24_oclm_phase1c5c_revocation_transparency_lineage_composition_contract.spthy,401462e0320ec6ea2a9dc26f028b89e9703f76f16493eb8dc17bc71a970f6813,logs/original/A24_audit_a24_conflicting_composed_roots_require_prior_log_compromise.txt,f7b03921a13ffe38525ef9026086660556b302f9706a0540971c34c2e91ef64f,
A25,attack,Time・Space・Oracle結合,oclm_phase1b_external.spthy,external_acceptance_requires_issue_or_compromise,audit_a25_external_acceptance_requires_issue_or_compromise,Oracle発行も鍵侵害もなく外部Childを受理できるか,SURVIVES,True,falsified,clean direct rerun,8.32,models/generated_theories/A25_oclm_phase1b_external.spthy,03f9a355dcd3e3bed9038c9e0f671ec36dc4a4bc0253b4b57c5c481461405b6a,logs/clean/A25.txt,d17607d8c82580a31ced0671afac8d94a948a80870009f5c72d3712538d2ecc0,Original result replaced by a warning-free clean rerun.
A26,attack,Time・Space・Oracle結合,oclm_phase1b2_time_space_window.spthy,generated_child_has_open_window_ancestry,audit_a26_generated_child_has_open_window_ancestry,一致するopen window・両Parent・時空間祖先なしでChildを生成できるか,SURVIVES,True,falsified,original clean run,2.15,models/generated_theories/A26_oclm_phase1b2_time_space_window.spthy,87be769e85d578c07946804df4ea51299fc8e6ae198882e97a0296063bf45d0f,logs/original/A26_audit_a26_generated_child_has_open_window_ancestry.txt,326f50b0006ad04329eeff9df63db638928ba7aa95c18cc9c62c836f50a2f3eb,
A27,attack,Time・Space・Oracle結合,oclm_phase1c1_composition_contract.spthy,composed_acceptance_requires_closed_generation_or_compromise,audit_a27_composed_acceptance_requires_closed_generation_or_compromise,closed generationもOracle侵害もなく構成Childを受理できるか,SURVIVES,True,falsified,original clean run,3.60,models/generated_theories/A27_oclm_phase1c1_composition_contract.spthy,1bdbc04998973d546889de5b94301284d9c8726098c94b383ccc1d6f56c2b416,logs/original/A27_audit_a27_composed_acceptance_requires_closed_generation_or_compromise.txt,50fe3fc132c03e77bf1a0d97cc92423ce6ecdb4e24ce9c219200a8af7525127a,
A28,attack,Time・Space・Oracle結合,oclm_phase1c2_signed_composition_certificate.spthy,signed_acceptance_requires_certificate_or_compromise,audit_a28_signed_acceptance_requires_certificate_or_compromise,一致する署名証明書もOracle侵害もなく構成Childを受理できるか,SURVIVES,True,falsified,original clean run,6.85,models/generated_theories/A28_oclm_phase1c2_signed_composition_certificate.spthy,92dd2c5e42879a616b4f011b7b8f04ee7e6eef8d429c3b3db5759c0dd7a8acd6,logs/original/A28_audit_a28_signed_acceptance_requires_certificate_or_compromise.txt,23245b2d427a40389519df423e93aee8fb6d2bc807e73ca92f0fd0452b834f88,
A29,attack,最終合成・canonical競合,oclm_phase1c5c_revocation_transparency_lineage_composition_contract.spthy,composed_acceptance_requires_all_verified_component_contracts,audit_a29_composed_acceptance_requires_all_verified_component_contracts,C4B/C5A/C5Bの全component contractを満たさず最終受理できるか,SURVIVES,True,falsified,original clean run,2.19,models/generated_theories/A29_oclm_phase1c5c_revocation_transparency_lineage_composition_contract.spthy,020697466d52c6b9ced511c589de56c3483d8bb28c12b9c6ab7c16a986aca284,logs/original/A29_audit_a29_composed_acceptance_requires_all_verified_component_contracts.txt,d8c6991be1aa82910370791c095f10dcb2264b8ed7c6f3e654805d8b932153a9,
A30,attack,最終合成・canonical競合,oclm_phase1c6a_multi_epoch_generalization_core.spthy,accepted_epoch_requires_matching_prior_issuance,audit_a30_accepted_epoch_requires_matching_prior_issuance,対応するepoch発行なしでgeneralized epochを受理できるか,SURVIVES,True,falsified,original clean run,1.05,models/generated_theories/A30_oclm_phase1c6a_multi_epoch_generalization_core.spthy,27d95c519f66a841aa919b3cf3aaf2c521fc6b6d751659071289a2d6862766da,logs/original/A30_audit_a30_accepted_epoch_requires_matching_prior_issuance.txt,234eef5c12a561e6fef9d50efad759f575352c6b598347d6f23fee35eeb0da34,
A31,attack,最終合成・canonical競合,oclm_phase1c6b_generalized_security_composition_contract.spthy,generalized_acceptance_requires_c5c_and_c6a_contracts,audit_a31_generalized_acceptance_requires_c5c_and_c6a_contracts,C5C/C6A contract anchorなしでgeneralized final acceptanceへ到達できるか,SURVIVES,True,falsified,original clean run,11.11,models/generated_theories/A31_oclm_phase1c6b_generalized_security_composition_contract.spthy,94ecc75a4b349550048c6869fc935e2d63c51edae6fa4f49832139e7360a6cfc,logs/original/A31_audit_a31_generalized_acceptance_requires_c5c_and_c6a_contracts.txt,e2054bac95ebfec5b91af72a0c1493df3091c323c5e357a620fb1ccd4c52eb4b,
A32,attack,最終合成・canonical競合,oclm_phase1c6b_generalized_security_composition_contract.spthy,conflicting_generalized_epoch_histories_require_prior_compromise,audit_a32_conflicting_generalized_epoch_histories_require_prior_compromise,事前Verifier侵害なしで同一contractの競合epoch履歴を同時受理できるか,SURVIVES,True,falsified,original clean run,13.03,models/generated_theories/A32_oclm_phase1c6b_generalized_security_composition_contract.spthy,30be8ec906979c4630bc4b0944bb1832a3d8dd3e8d3a345cfe6650b63cdb6f25,logs/original/A32_audit_a32_conflicting_generalized_epoch_histories_require_prior_compromise.txt,a3cd265a5281b4f9cfe4f82339427daf5d4192dbf193554a760770cb0c984a6c,
A33,attack,理論・同一性・祖先,oclm_phase1.spthy,accepted_child_was_generated,audit_a33_accepted_child_was_generated,受理されたChildが対応する事前生成なしで成立できるか,SURVIVES,True,falsified,original clean run,1.73,models/generated_theories/A33_oclm_phase1.spthy,c6cfd504aa08c45c3de7990e965e74596e3b07275854cd2ac5ff7aa871c2caee,logs/original/A33_audit_a33_accepted_child_was_generated.txt,7b8a42227bde70a5a6c3b3416fd83c806c8ef79bb04a96b94a44d84f0b5ca973,
A34,attack,合成・証拠境界,oclm_phase1.spthy,oracle_equivocation_is_evidenced,audit_a34_oracle_equivocation_is_evidenced,Oracleの競合root提示を証拠なしで不可視化できるか,SURVIVES,True,falsified,original clean run,1.33,models/generated_theories/A34_oclm_phase1.spthy,7f66e7486e51f1bbfd8802716eee7a58bbd9c09713e696ba6ba6a8dee4134b81,logs/original/A34_audit_a34_oracle_equivocation_is_evidenced.txt,e166a4083f51ed6b28aaa620367bdbeda66ffbe33ba2ab3118959aaf5229e403,
A35,attack,理論・同一性・祖先,oclm_phase1b1_external_signature.spthy,external_child_requires_generation_or_compromise,audit_a35_external_child_requires_generation_or_compromise,生成もOracle鍵侵害もなく外部署名Childを受理できるか,SURVIVES,True,falsified,original clean run,2.05,models/generated_theories/A35_oclm_phase1b1_external_signature.spthy,2b7973e5a9efd65c4b38dc6e35ad593b0568863da7b527ae3cc2579758afa8f7,logs/original/A35_audit_a35_external_child_requires_generation_or_compromise.txt,fa3fdf4a1d89d4364fa8b5f52926cb6cf7cbc9962a8ea22ffe209d10b3858ade,
A36,attack,理論・同一性・祖先,oclm_phase1b2_time_space_window.spthy,generated_child_precedes_matching_close,audit_a36_generated_child_precedes_matching_close,対応windowのclose後にChild生成を成立させられるか,SURVIVES,True,falsified,original clean run,2.16,models/generated_theories/A36_oclm_phase1b2_time_space_window.spthy,1a971a6550acb9e7c6836f46ad23c1fb263881b353b97779fbbb07417ece115c,logs/original/A36_audit_a36_generated_child_precedes_matching_close.txt,c9f508ae23c574d9494e00c1cf408b45b1f7564ad24e38e4d1b569abb841cbdb,
A37,attack,理論・同一性・祖先,oclm_phase1b2_time_space_window.spthy,generated_parent_a_precedes_close,audit_a37_generated_parent_a_precedes_close,Parent A参加が生成前かつclose前に存在しないChildを成立させられるか,SURVIVES,True,falsified,original clean run,2.24,models/generated_theories/A37_oclm_phase1b2_time_space_window.spthy,8e6cb268d944d272f755c0a89824a97bff1a520895dc3bcb5391ac4fd4f91337,logs/original/A37_audit_a37_generated_parent_a_precedes_close.txt,3f5e8795c1df271ef07251651581e80e771800cfaf1b2580c5eec4944b76c64e,
A38,attack,理論・同一性・祖先,oclm_phase1b2_time_space_window.spthy,generated_parent_b_precedes_close,audit_a38_generated_parent_b_precedes_close,Parent B参加が生成前かつclose前に存在しないChildを成立させられるか,SURVIVES,True,falsified,original clean run,2.58,models/generated_theories/A38_oclm_phase1b2_time_space_window.spthy,632d551cbeaf1b169d28b418aaf6d8df768f07d69989164f245ab7fc47d0ad25,logs/original/A38_audit_a38_generated_parent_b_precedes_close.txt,0cd6bb52ed965eb307d0c53620728db1860a9f98a894ec98ce4de50f36f5cad8,
A39,attack,理論・同一性・祖先,oclm_phase1b3_claim_collapse.spthy,post_collapse_acceptance_requires_generation_or_compromise,audit_a39_post_collapse_acceptance_requires_generation_or_compromise,claim collapse後に生成もOracle鍵侵害もないChildを受理できるか,SURVIVES,True,falsified,original clean run,2.93,models/generated_theories/A39_oclm_phase1b3_claim_collapse.spthy,b0dfc3b1acdbe63d0e175a62b0c4d8d22d31939652f8c23105d776eb4eb3bcfc,logs/original/A39_audit_a39_post_collapse_acceptance_requires_generation_or_compromise.txt,3e0a5f987f4b3ead10491e3e2478176701c0f488ff04382a5f02c5cdfb773665,
A40,attack,理論・同一性・祖先,oclm_phase1b3_claim_collapse.spthy,post_collapse_acceptance_has_collapse_ancestry,audit_a40_post_collapse_acceptance_has_collapse_ancestry,claim・consensus・collapseの完全な事前履歴なしでcollapse後受理できるか,SURVIVES,True,falsified,original clean run,2.53,models/generated_theories/A40_oclm_phase1b3_claim_collapse.spthy,01b768bbb80fe13615a6c4a6dfccd717736fc88f9c89282d86ab56be72ba1dea,logs/original/A40_audit_a40_post_collapse_acceptance_has_collapse_ancestry.txt,db5edcf0163de5b7113d50b92d0c92302ef66b1e3f122006fbf1bb88d9500e13,
A41,attack,理論・同一性・祖先,oclm_phase1b3_claim_collapse.spthy,post_collapse_child_identity_is_bound_or_compromised,audit_a41_post_collapse_child_identity_is_bound_or_compromised,Oracle鍵侵害なしでcollapse後の同一Childを異なる系譜へ置換できるか,SURVIVES,True,falsified,original clean run,6.90,models/generated_theories/A41_oclm_phase1b3_claim_collapse.spthy,5c4dc3717a1b4352ee1e16793b2194c4aa8e888046b997c9e2eab0e513ae4793,logs/original/A41_audit_a41_post_collapse_child_identity_is_bound_or_compromised.txt,2cb5aea6ad0cb3090448d0e19c80e5347bcb3c39c173efcffe85127885b89069,
A42,attack,理論・同一性・祖先,oclm_phase1b_external.spthy,external_acceptance_requires_generation_or_compromise,audit_a42_external_acceptance_requires_generation_or_compromise,生成もOracle鍵侵害もなくexternal modelのChildを受理できるか,SURVIVES,True,falsified,clean direct rerun,9.16,models/generated_theories/A42_oclm_phase1b_external.spthy,24176b6363e378420645f4f9c86078c2fabeab4867ab2661f39ccb7bb5d415c4,logs/clean/A42.txt,8b23695fe4c07da5473e36fb97e28823b77ca3b54747536550e107ac7fbfd4c0,Original result replaced by a warning-free clean rerun.
A43,attack,理論・同一性・祖先,oclm_phase1b_external.spthy,external_child_lineage_is_bound_or_compromised,audit_a43_external_child_lineage_is_bound_or_compromised,Oracle鍵侵害なしでexternal modelの同一Childを異なる系譜へ置換できるか,SURVIVES,True,falsified,clean direct rerun,59.75,models/generated_theories/A43_oclm_phase1b_external.spthy,5e5e0e7f1e09df382be0e5be81e55c85e4219686f1852ec7dd07fdb514974eb8,logs/clean/A43.txt,5cff8f69d0345b798d83efd95c2d6599cef6bca6fd21cdaaa78e5b478a69d15c,Original result replaced by a warning-free clean rerun.
A44,attack,敵対的意味論,oclm_phase1b_external.spthy,external_model_pair_is_single_use,audit_a44_external_model_pair_is_single_use,external modelで同一issuance pairを複数生成に再利用できるか,SURVIVES,True,falsified,clean direct rerun,8.29,models/generated_theories/A44_oclm_phase1b_external.spthy,5810568807b402d220f52b78783be0e073461172a4bb86877000eca3ca28e62f,logs/clean/A44.txt,c17ce71bd4d947432eca62c641cb35da147902cfa97143ac32d6be81fd27610c,Original result replaced by a warning-free clean rerun.
A45,attack,理論・同一性・祖先,oclm_phase1c1_composition_contract.spthy,composed_child_identity_is_bound_or_compromised,audit_a45_composed_child_identity_is_bound_or_compromised,Oracle鍵侵害なしでC1合成後の同一Childを異なる系譜へ置換できるか,SURVIVES,True,falsified,original clean run,8.08,models/generated_theories/A45_oclm_phase1c1_composition_contract.spthy,d6e2cc7811c281a163285fd5ed61fc0a8b75c2ecb437873d03a26c71b82e6a43,logs/original/A45_audit_a45_composed_child_identity_is_bound_or_compromised.txt,c211c1732ff4a8cfe057ab3f4cc35875c64e531aaa93be85c7dad6f08ff50668,
A46,attack,時間境界・状態遷移,oclm_phase1c3_forward_secure_epochs.spthy,accepted_certificate_with_issued_credential_requires_origin_or_epoch_compromise,audit_a46_accepted_certificate_with_issued_credential_requires_origin_or_epoch_compromise,epoch credential発行済みでもorigin証明書発行・epoch鍵侵害なしで受理できるか,SURVIVES,True,falsified,clean direct rerun,373.17,models/generated_theories/A46_oclm_phase1c3_forward_secure_epochs.spthy,ab4cab92209d5c5a89d8c7b75b4a5b79488e66546a16af118f6f2f42f6e97f29,logs/clean/A46.txt,bd7f8956deab86a901c80ea23cb38c1fb2f83a7af346943104bc7c522fcd0b5c,Original result replaced by a warning-free clean rerun.
A47,attack,理論・同一性・祖先,oclm_phase1c3_forward_secure_epochs.spthy,uncompromised_erased_epoch_acceptance_has_full_ancestry,audit_a47_uncompromised_erased_epoch_acceptance_has_full_ancestry,旧epoch/root未侵害時に完全な発行・親・生成・消去祖先なしで受理できるか,SURVIVES,True,falsified,clean direct rerun,726.84,models/generated_theories/A47_oclm_phase1c3_forward_secure_epochs.spthy,9fb95dae43f140c6769cadbd2006a6edd725617f53717e93cc5b977444609283,logs/clean/A47.txt,7d029a0fd604e8e56f500ed3985e1cb35cbd1ccd8af397b2991081df833e1ee1,Original result replaced by a warning-free clean rerun.
